rank,term,average_tfidf_across_majors,max_tfidf_in_single_major,appears_in_major_count,total_nonempty_major_count,selection_rule
1,design,0.086277,0.139755,7,7,appears_in_all_nonempty_major_groups
2,computer,0.085463,0.114077,7,7,appears_in_all_nonempty_major_groups
3,introduction,0.082211,0.0884,7,7,appears_in_all_nonempty_major_groups
4,non,0.069273,0.102275,7,7,appears_in_all_nonempty_major_groups
5,seminar,0.069198,0.134808,7,7,appears_in_all_nonempty_major_groups
6,thesis,0.061061,0.077743,7,7,appears_in_all_nonempty_major_groups
7,bioengineering,0.055556,0.114077,7,7,appears_in_all_nonempty_major_groups
8,bioinformatics,0.055103,0.0884,7,7,appears_in_all_nonempty_major_groups
9,fundamentals,0.049714,0.0884,7,7,appears_in_all_nonempty_major_groups
10,cell,0.045815,0.0884,7,7,appears_in_all_nonempty_major_groups
11,perspectives,0.045815,0.0884,7,7,appears_in_all_nonempty_major_groups
12,stem,0.045815,0.0884,7,7,appears_in_all_nonempty_major_groups
13,tissue,0.045815,0.0884,7,7,appears_in_all_nonempty_major_groups
14,pursuing,0.038917,0.062722,7,7,appears_in_all_nonempty_major_groups
15,complete,0.036053,0.077743,7,7,appears_in_all_nonempty_major_groups
16,option,0.029087,0.062722,7,7,appears_in_all_nonempty_major_groups
17,error,0.024516,0.0884,7,7,appears_in_all_nonempty_major_groups
18,client,0.020848,0.062722,7,7,appears_in_all_nonempty_major_groups
19,url,0.020848,0.062722,7,7,appears_in_all_nonempty_major_groups
20,addition,0.017179,0.037045,7,7,appears_in_all_nonempty_major_groups
