query_id,query_text
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements."
q02,"Find artificial intelligence minor forms, AI minor worksheets, minor program applications, and requirements for students completing an AI minor."
q03,"Find big data analytics certificate forms, professional big data analytics certificate worksheets, applications, and related big data analytics program requirements."
q04,"Find MS Computer Science program worksheets, MS CSE worksheet documents, professional MS CS worksheets, and computer science graduate program requirements."
q05,"Find MS Computer Engineering program sheets, MS COEN worksheets, computer engineering application forms, and computer engineering graduate requirements."
q06,"Find MS Electrical Engineering worksheets, EEL program sheets, electrical engineering graduate program information, and electrical engineering degree requirements."
q07,"Find cybersecurity certificate and minor documents, cyber security worksheets, cybersecurity applications, and security-related courses such as cryptography, network security, and data security."
q08,"Find data science and analytics certificate documents, DSA concentration worksheets, CSDA or computer science data analytics program sheets, and related data science courses."
q09,"Find machine learning, artificial intelligence, neural networks, deep learning, computer vision, and NLP course syllabi."
q10,"Find data mining, information retrieval, web mining, big data analytics, and database-related course syllabi."
q11,"Find software engineering courses and syllabi covering software requirements engineering, software testing, software architecture, software maintenance, and object-oriented design."
q12,"Find electrical engineering course syllabi for circuits, electronics, signal processing, communications, control systems, antennas, RF, power systems, and smart grid topics."
q13,"Find computer architecture, digital logic, microprocessor, embedded systems, VLSI, and computer design course syllabi."
q14,"Find general EECS student forms and administrative documents such as audit forms, application forms, graduate pathway scholarships, low residency PhD forms, and conflict of interest disclosure forms."
